기존명령어 종류	기존명령어	새로 사용되는 명령어	TITLE	PARAM	PARAM_EXT	INPUT_VALUE
condition	거래금액 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	할부개월 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	부가세 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	봉사료 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	승인번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	카드번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	유효기간 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	거래일련번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	매출일자 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	수표번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	발행일자 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	비밀번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	계좌번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	주민등록번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	사업자번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	취소금액 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	지역번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	전화번호 입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	숫자+입력	INPUT_KEYPAD	{0}	{1}|입력	N	["instruction","sentence"]
condition	숫자	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	0	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	000	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	특수	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	종료	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	입력	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	조회	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	정산	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	재인쇄	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
condition	포인트	INPUT_KEYPAD	{0}	{0}	N	["instruction","sentence"]
input	HWTrace	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
input	STMS개시거래	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
input	가맹점정보확인	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
input	개시거래	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
input	거래일련번호	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
input	메모리초기화	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
input	면세유	INPUT_KEYPAD	{0} 입력	$MAP_ENV['{0}']	N	["instruction","sentence"]
