이름	설명	시작 키 배열	끝 키 배열
Terminal Profile 01	Default
Terminal Profile 02-01	세금미포함금액, 부가세율0%	특수, 7001, 2, 1, 3, 2, 0, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 02-02	세금미포함금액, 부가세율5%	특수, 7001, 2, 1, 3, 2, 5, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 02-03	세금미포함금액, 부가세율50%	특수, 7001, 2, 1, 3, 2, 50, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 02-04	세금미포함금액, 부가세율99%	특수, 7001, 2, 1, 3, 2, 99, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 02	세금미포함금액	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료
Terminal Profile 03-01	부가세 비사용, 봉사료, 봉사료율0%	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 0, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 03-02	부가세 비사용, 봉사료, 봉사료율5%	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 5, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 03-03	부가세 비사용, 봉사료, 봉사료율50%	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 50, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 03-04	부가세 비사용, 봉사료, 봉사료율99%	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 99, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 03-05	봉사료사용, 전표비과세	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 03	부가세 비사용, 봉사료	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
